suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
Urinary calculus,SoNitajamUtrakRucCram/raktajamUtrakRucCram,EJ-4.8,90%,"The Ayurvedic description, including terms like 'obstruction', 'excruciating pain', 'abdominal distention', 'heaviness in the bladder', and relief upon passage of calculus, strongly points towards urinary calculus as the most likely ICD-11 equivalent.",,,,,,,,
"Disorders of urination, unspecified",SukrajanyamUtrakRucCram,EJ-4.10,90%,"The Ayurvedic term describes difficulty in urination (mūtraṁ kr̥cchrēṇa vimuṁcati), scrotal stiffness (stabdhāṇḍatā), and penile/vesical pain (mēhana-śūlaḥ, vasti-śūlaḥ), aligning with the broad category of unspecified urination disorders in ICD-11, encompassing potential underlying causes needing further investigation.",,,,,,,,
Polydipsia,kaPaja-tRuShNA,EK-2.4,60%,"While 'kaPaja-tRuShNA' points to thirst related to Kapha dosha in Ayurveda,  lacking detailed definitions prevents a more precise ICD-11 mapping; however, excessive thirst (polydipsia) is a common symptom across various conditions, making it the most plausible general match.",,,,,,,,
Unspecified dehydration,rUkShaNa-apacAraH,SC,60%,"While the provided definition is absent,  'rUkShaNa-apacAraH' (रूक्षण-अपचारः) suggests a drying or depleting therapy in Ayurveda.  This could relate to dehydration, although further context is crucial for a more precise ICD-11 mapping; hence the moderate confidence.",,,,,,,,
Unspecified thirst,asAdhya-tRuShNA,EK-2.10,60%,"While 'asAdhya-tRuShNA' translates to 'incurable thirst,'  the lack of specific details prevents precise ICD-11 mapping.  'Unspecified thirst' is the closest general category representing persistent thirst, acknowledging the limitation of information about the underlying cause.",,,,,,,,
"E86.0, Dehydration",rasakShayaja-tRuShNA,EK-2.6,60%,"While the provided definition is lacking, 'rasakShayaja-tRuShNA' (रसक्षयज-तृष्णा) suggests a thirst caused by fluid depletion ('rasa' implying bodily fluids), aligning with the ICD-11 code for dehydration, though further information is needed for higher confidence.",,,,,Sū’ Mizāj al-Kabid al-Yābis,F-51.4,90%,"The symptoms described – thirst, weight loss, decreased stool quantity, and changes in urine consistency – strongly suggest dehydration as the most likely ICD-11 equivalent of 'Sū’ Mizāj al-Kabid al-Yābis', a dry morbid temperament of the liver, focusing on the dehydration aspects rather than liver pathology directly."
6A00.0 - Polydipsia,tRuShNA-upadravaH,EK-2.11,90%,"The term 'tRuShNA-upadravaH' translates to 'disorder of thirst' or 'excessive thirst', directly corresponding to the ICD-11 definition of Polydipsia, a symptom often associated with diabetes insipidus or other underlying conditions.",,,,,,,,
"XA00.0, Polydipsia",tRuShNA-ariShTaH,EK-2.12,60%,"While the provided definition is lacking,  'tRuShNA-ariShTaH' translates to 'thirst disorder' which suggests a symptom of excessive thirst, aligning with the ICD-11 code for polydipsia; however, without a precise definition, the confidence is moderate.",,,,,,,,
"RA00.0,Lymphoedema",SvayathuH/SothaH/SoPaH,SP92 (EK-3),90%,"The described symptoms of painless soft swelling with pitting, heaviness, and involvement of fluid channels strongly suggest lymphoedema, aligning with the ICD-11 definition of this condition.  The Ayurvedic explanation of humoral imbalance can be considered a contributing factor, but the clinical presentation is the primary determinant.",,,,,,,,
Inflammatory condition of unspecified site,kAlikA,SS-2.1,70%,"The symptoms of 'kAlikA' – fever (jvaraḥ), burning sensation (dāhaḥ), swelling (śvayathuḥ), and pain (vēdanā) – are non-specific but broadly consistent with an inflammatory process, lacking the precision for a more specific ICD-11 code.",,,,,,,,
"Inflammatory skin disease, unspecified",pittajaSoPaH,EK-3.3,90%,"The description of pittajaSoPaH, including oedema (śōphaḥ) with various colorations (yellowish, reddish, black), fever (jvaraḥ), burning sensation (dāhaḥ), and tenderness (sparśēruka), strongly suggests an inflammatory skin condition; the lack of precise localization prevents more specific ICD-11 assignment.",,,,,,,,
EB80.1 Lymphedema,kaPajaSoPaH,EK-3.4,90%,"The extensive description of kaPajaSoPaH, including features like firm, cold, and pitting edema that doesn't refill rapidly, along with the absence of bleeding upon incision and oozing of serous fluid, strongly suggests lymphedema as the most accurate ICD-11 equivalent.  The Ayurvedic description of  'guru śōphaḥ', 'sthira śōphaḥ', and the specific characteristics of the edema align closely with the clinical presentation of lymphedema.",,,,,,,,
"Chapter 11: Diseases of the skin and subcutaneous tissue, Erysipelas",raktajaSoPa,EK-3.5,80%,"The description of raktajaSoPa, including yellowish oedema, dark black coloration, soft oedema, rapid spread, and burning sensation with sweating and restlessness, strongly suggests Erysipelas, a rapidly spreading skin infection characterized by inflammation and redness.",,,,,,,,
Unspecified inflammatory condition of skin and subcutaneous tissue,sAnnipAtajaSoPaH,EK-3.7,60%,"While 'sAnnipAtajaSoPaH' points to an inflammatory condition with varied symptoms (vividha varṇa vēdanā), the lack of precise symptom detail prevents a more specific ICD-11 mapping.  The description suggests a generalized inflammatory process affecting the skin and subcutaneous tissue, hence this broad categorization.",Azhal,BWB,60%,"Without further definition of 'Azhal', a general inflammatory skin condition is the closest plausible ICD-11 mapping;  more information is needed for a higher confidence.",,,,
"Infections of skin and subcutaneous tissue, not elsewhere classified",saviSha-CatropayogaH,PA-24,90%,"The description of 'saviSha-CatropayogaH' encompassing pain (vēdanā), rapid suppuration (kṣiprapākaḥ), and blister-like eruptions resembling ripe jambu fruit points towards a localized skin infection with suppuration, fitting within the broad category of Infections of skin and subcutaneous tissue, not elsewhere classified in ICD-11.",,,,,,,,
Other specified inflammatory skin conditions,pacyamAnaSoPaH,EK-3.11,90%,"The description of pacyamAnaSoPaH, including intense burning pain, swelling, skin discoloration, fever, and systemic symptoms, points towards a severe inflammatory skin condition not specifically categorized elsewhere in ICD-11, fitting the 'Other specified' category.",,,,,,,,
External otitis,pUtikarNaH,J-18 (SK88),90%,"The Sanskrit term 'pUtikarNaH' (पूतिकर्णः) translates to 'foul ear' or 'infected ear', directly indicating an inflammatory condition of the external ear, aligning with the ICD-11 definition of external otitis.",Vaḷi Piḷavai,HBA1.17,90%,"The description of 'Vaḷi Piḷavai' as an ear carbuncle with tinnitus and headache, related to increased 'vali' (possibly referring to inflammation), strongly suggests an infection or inflammation of the external ear, aligning with the ICD-11 category of External otitis.",,,,
"Cephalgia, unspecified",SiraSothaH,EK-3.16,80%,"Considering the term 'SiraSothaH' (शिरशोथः) translates to 'head inflammation' in Ayurveda, and the lack of specific details, the broadest and most appropriate ICD-11 mapping is 'Cephalgia, unspecified', encompassing various head pain conditions.",,,,,,,,
Generalized edema,sarvasara-SothaH,SP91 (EK-3.17),90%,"The Ayurvedic term 'sarvasara-SothaH', describing generalized body edema caused by vitiated doshas (humors) obstructing vata, directly corresponds to the clinical presentation of generalized edema, which can have various underlying causes encompassed within ICD-11's broader category rather than specifying a single disease.",,,,,,,,
Edema,SoPa-ariShTaH,EK-3.19,60%,"The vernacular term 'शोफ-अरिष्टः' (SoPa-ariShTaH) translates to 'edema' or swelling, a non-specific symptom that can be associated with various ICD-11 chapters but 'Edema' is a relatively close match until further details are provided.  The lack of specific symptoms necessitates a low confidence score.",Aẕal,TLB,90%,"'Aẕal' described as dropsy directly translates to edema, a condition characterized by fluid retention and swelling, aligning strongly with the ICD-11 definition of edema encompassing various etiologies.",Waram Rikhw,M-15.7,90%,"The Unani term 'Waram Rikhw' describes a transudative swelling, which directly corresponds to the clinical manifestation of edema as defined in ICD-11;  the description lacks specifics to narrow it further."
Ascites,navajvara pANDuroga kAmalA pramehiNAM anuvAsanasya vyApadaH,SI-3.3.2,80%,"The presence of 'udaram' (abdominal enlargement/ascites) as a key clinical feature in the long definition strongly suggests Ascites as the most likely ICD-11 mapping, although further details on the etiology are lacking in the provided information.",,,,,,,,
"Gastrointestinal disorder, unspecified",udara-pUrvarUpam,EK-4.1,60%,"The term 'udara-pUrvarUpam' translates to something like 'precursors of abdominal disease' or 'symptoms preceding abdominal ailments' in Ayurveda.  Without further definition, this broadly points to unspecified gastrointestinal issues, as 'udara' relates to the abdomen.",Kuṉmam,EB,80%,"'Gatsirc disorder' directly translates to a gastrointestinal problem, and  lacking more specific details, 'Gastrointestinal disorder, unspecified' in ICD-11 is the most suitable general category.",,,,
KB74.1-Inflammatory bowel disease,pittaja-udararogaH,EK-4.3 (SM32),70%,"पित्तज-उदररोगः (pittaja-udararogaH) suggests an abdominal disorder related to Pitta dosha (Ayurveda's fire element), often correlating with inflammatory conditions of the digestive system, aligning with inflammatory bowel disease in ICD-11; however, further clinical details are needed for precise mapping.",,,,,,,,
"Hepatomegaly, unspecified",yakRuddAlyudaraH,SM42 (EK-4.6),90%,"The Ayurvedic term 'yakRuddAlyudaraH' describes liver enlargement (hepatomegaly) with associated symptoms like anorexia, nausea, vomiting, and skin discoloration, aligning well with the broad definition of unspecified hepatomegaly in ICD-11, avoiding more specific liver disease classifications without further diagnostic information.",,,,,,,,
Perforated Viscus,CidrodaraH/kShatodaram,EK-4.8 (SM32),90%,"The Sanskrit terms 'CidrodaraH' (छिद्रोदरः) and 'kShatodaram' (क्षतोदरम्) directly translate to 'perforated abdomen' or 'injured abdomen', indicating a breach in the abdominal wall or viscus, aligning with the ICD-11 definition of Perforated Viscus.",,,,,,,,
"Gastrointestinal disorders, unspecified",kipya,NB-3.8,70%,"The symptoms described, including abdominal pain (śūla), digestive issues (agnimāṁdda), pallor (pāṇḍu), constipation/fullness (viṣṭmbha), loss of strength (balasaṁkṣaya), altered feces (viḍbhēda), and loss of appetite (aruchi), point towards a broad gastrointestinal disorder;  the inclusion of 'hr̥drōga' (heart disease) adds uncertainty, preventing a more precise ICD-11 mapping.",Aiya Māntam,TFC1.1,80%,"The symptoms of Aiya Māntam, including chillness, pallor, fever, anxiety, diarrhoea, and flatulence, align with various gastrointestinal disorders.  The mention of 'increased aiyam' suggests an imbalance related to digestion, lacking precise ICD-11 specificity, hence 'unspecified' is used.",,,,
